time,summary,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility,nearestStormDistance
946702800,Clear,0,0,64.84,65,60.1,0.85,1021.7,1.33,73,0.1,0,8.17,-1
946789200,Clear,0,0,68.39,68.72,62.17,0.81,1023.1,4.92,84,0.08,0,9.997,-1
946875600,Clear,0,0,65.11,65.42,61.24,0.87,1022,1.05,30,0.29,0,9.491,-1
946962000,Partly Cloudy,0,0,72.78,73.98,69.59,0.9,1020.2,9.58,116,0.44,0,9.997,-1
947048400,Partly Cloudy,0,0,70.14,71.21,67.93,0.93,1019.7,0.41,180,0.38,0,9.997,-1
947134800,Overcast,0,0,72.75,73.54,66.65,0.81,1022.2,11.47,77,0.89,0,9.997,-1
947221200,Clear,0,0,72.22,73.03,66.66,0.83,1023.8,7.97,106,0.14,0,9.997,-1
947307600,Clear,0,0,67.9,68.56,64.42,0.89,1022.9,1.54,50,0.12,0,9.658,-1
947394000,Clear,0,0,66.58,67.32,64.57,0.93,1021.5,1.25,112,0.12,0,9.997,-1
947480400,Clear,0,0,68.36,69.36,66.87,0.95,1019.2,2.88,139,0.04,0,9.997,-1
947566800,Clear,0,0,67.35,68.31,66.29,0.96,1020,2.47,232,0,0,9.583,-1
947653200,Clear,0,0,67.25,67.85,63.87,0.89,1022.3,2.58,0,0,0,9.743,-1
947739600,Clear,0,0,63.68,63.8,59.51,0.86,1023.5,0,-1,0,0,9.997,-1
947826000,Clear,0.0013,0.11,64.29,64.89,62.91,0.95,1023.6,1.55,329,0,0,9.421,-1
947912400,Overcast,0,0,64.41,64.41,46.97,0.53,1031.4,19.56,45,1,0,9.997,-1
947998800,Drizzle,0.0004,1,64.5,64.5,49.08,0.57,1031.8,13.98,68,0.94,0,9.997,-1
948085200,Partly Cloudy,0,0,60.22,60.22,51.99,0.74,1027.3,5.49,355,0.36,0,9.997,-1
948171600,Clear,0,0,58.16,58.16,49.8,0.74,1024,1.55,274,0,0,9.997,-1
948258000,Clear,0,0,60.56,60.56,55.58,0.84,1020.1,7.42,283,0,0,9.632,-1
948344400,Clear,0,0,62.44,62.82,60.8,0.94,1016.5,7.26,246,0,0,9.997,-1
948430800,Clear,0,0,61.13,61.13,51.77,0.71,1014.9,11.67,312,0,0,9.997,-1
948517200,Clear,0,0,52.68,52.68,44.38,0.73,1020.3,5.48,352,0,0,9.997,-1
948603600,Clear,0,0,58.46,58.46,53.56,0.84,1019.9,0.46,90,0.06,0,9.997,-1
948690000,Mostly Cloudy,0,0,68.24,68.79,63.78,0.86,1014,7.44,143,0.61,0,9.997,-1
948776400,Clear,0,0,51.99,51.99,44.7,0.76,1011,11.04,303,0,0,9.997,-1
948862800,Clear,0,0,54.02,54.02,48.4,0.81,1013.6,4.24,299,0.06,0,9.997,-1
948949200,Clear,0,0,46.92,42.84,36.3,0.66,1021.8,8.42,332,0,0,9.997,-1
949035600,Partly Cloudy,0,0,54.14,54.14,45.5,0.73,1023.9,5.19,353,0.49,0,9.997,-1
949122000,Mostly Cloudy,0,0,67.75,67.75,58.46,0.72,1023.9,10.59,115,0.67,0,9.997,-1
949208400,Clear,0,0,69.18,69.55,62.72,0.8,1023.1,8.9,122,0.28,0,9.997,-1
949294800,Clear,0,0,63.41,63.79,61.16,0.92,1021,0.27,180,0,0,9.66,-1
949381200,Clear,0,0,63.34,63.43,59.2,0.86,1020.4,5.58,351,0.24,0,9.997,-1
949467600,Clear,0,0,63.47,63.67,59.98,0.88,1021.3,4.33,358,0.23,0,9.997,-1
949554000,Overcast,0,0,69.87,70.18,62.39,0.77,1021.5,9.54,74,1,0,9.997,-1
949640400,Mostly Cloudy,0,0,67.68,68.6,66.1,0.95,1017.6,3.04,271,0.78,0,9.997,-1
949726800,Clear,0,0,60.29,60.29,51.72,0.73,1019.3,8.08,311,0,0,9.997,-1
949813200,Clear,0,0,52.01,52.01,42.8,0.71,1026.5,6.79,344,0,0,9.997,-1
949899600,Clear,0,0,58.26,58.26,51.03,0.77,1026.8,1.57,34,0.13,0,9.997,-1
949986000,Partly Cloudy,0,0,63.2,63.2,57.95,0.83,1024.4,3.99,91,0.37,0,9.997,-1
950072400,Drizzle,0.0119,1,58.14,58.27,57.65,0.98,1021.1,9.85,333,1,0,2.877,-1
950158800,Clear,0,0,54.47,54.47,43.98,0.68,1019.7,6.43,309,0,0,9.997,-1
950245200,Clear,0,0,57.12,57.12,48.02,0.72,1020,3.36,270,0,0,9.26,-1
950331600,Clear,0,0,58.97,58.97,55.41,0.88,1020.9,3.65,251,0,0,5.576,-1
950418000,Partly Cloudy,0,0,62.48,63,61.75,0.97,1021.2,2.04,167,0.53,0,9.2,-1
950504400,Clear,0,0,69.97,70.5,64.04,0.81,1019.6,8.35,139,0,0,9.997,-1
950590800,Partly Cloudy,0,0,73,74.22,69.86,0.9,1017.1,11.68,196,0.57,0,9.997,-1
950677200,Clear,0,0,68.39,68.78,62.65,0.82,1022.8,1.55,328,0.16,0,9.997,-1
950763600,Clear,0,0,65.62,65.62,58.53,0.78,1023,4.99,70,0,0,9.997,-1
950850000,Partly Cloudy,0,0,69.65,69.84,61.41,0.75,1023.1,8.73,89,0.44,0,-1,-1
950936400,Partly Cloudy,0,0,72.22,73.36,69.04,0.9,1022.7,6.84,112,0.45,0,9.997,-1
951022800,Clear,0,0,68.58,69.47,66.25,0.92,1024.2,4.06,309,0.18,0,9.997,-1
951109200,Drizzle,0.0004,1,68.44,69.19,65.25,0.9,1023.1,9.48,342,1,0,9.997,-1
951195600,Clear,0,0,62.85,62.85,54.09,0.73,1023.4,9.82,345,0.11,0,9.997,-1
951282000,Partly Cloudy,0,0,69.03,69.03,53.58,0.58,1024.6,13.35,71,0.32,0,9.997,-1
951368400,Partly Cloudy,0,0,68.29,68.29,55.62,0.64,1024,11.02,64,0.59,0,9.997,-1
951454800,Drizzle,0.0004,1,68.86,69.2,62.41,0.8,1022.1,11.17,70,0.69,0,9.997,-1
951541200,Drizzle,0.0004,1,70.49,70.84,62.83,0.77,1022.3,14.19,82,0.31,0,9.997,-1
951627600,Partly Cloudy,0,0,71.24,71.7,63.84,0.78,1023.4,11.26,107,0.58,0,9.997,-1
